GWD,W,Sa,TWL,P,T,Hu,ELE
-0.128746376,11.88376089,19.05148223,135.5090514,0,19.9,62,0.494
-0.263047047,25.21286211,30.5349214,118.2950421,0,2.6,30,0.04
-0.156258993,26.2043678,32.36004222,140.8941908,0,25.6,100,0.342
-0.371798629,9.707473452,26.8348902,73.91878308,0.1,-4.5,95,0.135
0.248673516,21.55479864,17.11211281,96.01704854,0,18.3,47,0.559
-0.153916996,26.85734549,27.38661851,82.07966349,0,1.6,73,0.04
-0.777597806,19.32205939,31.13156413,110.7903512,0,17.5,60,0.986
-0.4,21.50019807,24.95701346,107.5931889,0,18.1,35,0.986
0.687,21.50019807,24.95701346,72.23655447,0,14.8,47,0.687
-0.109055451,28.29819814,30.13364807,67.44622669,0,22.6,65,0.342
-0.428201439,23.9728422,14.24133048,110.5027811,0,11.7,39,0.342
-0.175911912,27.83096335,25.70150664,141.9404776,0,26.6,48,0.04
-0.128746376,12.04552138,18.76272028,95.59592804,0,21.3,100,0.494
-0.128746376,12.1216184,36.38676544,106.2290107,0,4,89,1.279
-0.128746376,13.91596573,30.9644987,140.8941908,0,36.1,23,1.279
-0.946685621,18.53312906,26.00530985,97.37177221,0,23.6,100,0.986
-0.128746376,25.34764244,37.67056139,76.73734193,0,33.5,53,0.494
-0.561524776,19.17873608,15.45057549,89.03093167,0,20.3,69,0.135
-0.192199628,26.8572621,27.38650729,19.47547119,0,3.9,70,0.04
-0.542940656,9.713162135,18.71876211,75.38102194,0,7.5,32,0.135
-0.477993226,8.68614909,18.71850584,74.25428383,0,11.1,72,0.135
-0.420929487,19.445001,22.46221768,69.01499494,0,8.9,51,0.135
-0.378736414,8.145516543,18.71823872,90.4823222,0,9.6,75,0.135
0.149974026,25.43795912,24.55965156,46.90098687,0,1.5,30,0.687
0.494,21.50019807,24.95701346,118.8643922,0,17.6,70,0.494
0.153956616,28.12775457,28.2358521,74.25428383,0,11.1,72,0.687
0.326897368,25.66279535,27.58448557,134.0279242,0,32.5,39,0.559
-0.919371921,20.48328676,26.66103562,95.0189851,0,8.6,56,0.986
0.30523701,25.74088907,26.14157694,96.30107824,0,23.8,57,0.559
0.192140603,22.84249475,21.38640684,78.48055613,0,1.1,88,0.687
-0.107364621,23.02247355,27.96844116,136.7966026,0,29.6,37,0.04
-0.053132772,27.92333859,24.32941988,89.05294933,0,13.3,51,0.04
-0.079205776,25.75953464,27.78803127,157.435673,0,32.8,53,0.04
-0.52716227,23.6029235,16.26520237,78.24496643,0,5,47,0.342
0.280791048,23.06592445,28.06487785,83.16971951,0,23.2,83,0.559
-0.128746376,15.01597211,33.97055832,101.9744464,0,23.3,75,1.279
-0.946956358,15.52371039,20.447335,99.65276063,26,20.8,100,0.986
-0.83807775,14.82848409,31.78659202,85.31731125,0,-4.7,92,0.986
-0.178329337,28.84095943,32.1298337,139.7518619,0,8.8,61,0.04
-0.128746376,13.44621885,14.25618762,71.5580423,0,10.8,86,0.494
-0.368308638,20.03274766,30.69096735,102.0101225,0,20.4,82,0.135
0.381395752,25.11471284,24.84664602,78.98069285,0,6.1,62,0.687
-0.128746376,15.16383828,41.22275641,114.1661232,0,8.2,79,1.279
-1.2872205,17.65142171,28.62819128,98.19230066,0,13.6,64,0.986
-0.560512821,13.71067922,24.69252579,70.28479481,0,-6.5,69,0.135
-0.8414075,18.78448151,30.56055415,103.6251295,0,13,65,0.986
-0.999674711,13.22340003,17.62046082,109.1626485,41,27.8,84,0.986
-0.128746376,18.73574959,41.09072702,124.2925164,0,13.8,23,1.279
0.339700135,21.28431176,12.9264527,105.6712689,0,20.7,100,0.559
0.049483362,29.10456731,33.99879703,87.02343831,0.5,16.7,100,0.687
-0.351290715,13.00742258,17.70617729,108.9414911,0,11.6,59,0.135
-0.487833733,19.50600856,12.09986545,49.24983262,0,2.4,20,0.342
-0.128746376,8.476228637,29.30860459,116.8900011,0,14.9,78,1.279
0.479313635,23.92286472,17.20697255,132.9808362,0,7.3,69,0.687
-1.201792954,18.08700277,19.74766991,86.17160815,0,35.3,39,0.986
-0.128746376,10.67387396,14.66635488,76.25937037,0,1.8,57,0.494
0.355116903,28.7425232,21.65434504,119.689243,0,17.7,63,0.494
-0.128746376,16.74917398,30.32298562,96.32224741,0,30.6,73,1.279
-0.203748498,27.40900078,30.88515709,106.0159799,37,21.9,100,0.342
-0.541602564,20.85879921,22.38439352,139.9328383,0,29.2,67,0.135
-0.092316316,28.27558582,25.64741087,102.059324,0,22.7,90,0.04
0.268520175,24.85182219,28.30853338,111.7093283,87,26.1,98,0.559
0.083325397,18.69135912,20.63491258,68.39386605,0,17.8,42,0.559
-0.611634615,16.79422961,22.82066516,65.03318858,0.5,2.3,74,0.135
0.064912493,18.47654394,19.26602172,63.51082344,0,8.6,100,0.559
0.327973848,25.87763543,24.72843166,123.6890272,0,28.1,55,0.494
-0.8808773,23.86866832,27.19778147,131.831745,0,15.6,31,0.986
-0.071995845,25.89334606,20.21866441,123.4894713,0,29.2,58,0.342
-0.165917918,25.36220664,26.53845617,48.44258212,0,15.1,15,0.04
0.310850681,27.99475875,21.76148756,56.17101997,0,1.1,86,0.494
0.356339055,28.79471872,30.02896303,147.8007968,0,18,49,0.687
-0.128746376,8.848622654,16.53264104,84.38873158,0,7.2,44,0.494
0.061626797,20.55292757,22.55426512,84.32907348,0,14,41,0.559
-0.081083032,25.78354436,27.71604074,155.4328242,0,33.3,51,0.04
-0.128746376,18.31783046,42.34955547,119.9936157,7,19.7,100,0.494
-0.128746376,17.72489656,46.59779191,116.4781701,0.6,15.6,100,0.494
-0.243381295,28.46923588,34.00031164,43.6024281,0,18.5,65,0.04
-0.401086402,19.74891506,18.40318451,137.5942437,1,14.7,100,0.135
0.05661943,27.55381239,29.9711654,124.973367,17,22.7,100,0.559
0.261697494,26.68541571,24.51497184,85.16463808,0,30.3,58,0.494
-0.476128209,19.38526231,17.16002403,44.31758098,0,9.4,100,0.135
0.502685521,27.38432475,24.08016801,145.3173113,0,32.6,60,0.687
0.225598567,27.72730462,21.87464958,60.74759287,0,14,44,0.494
0.184059065,24.47154688,27.34401282,123.3247029,0,18.3,100,0.559
-0.592684689,13.44019235,26.92479149,58.14004484,0,-7.7,12,0.135
-0.128746376,15.38391076,38.41025641,117.3881254,0,28.3,80,1.279
-0.275955956,28.46001902,31.50356081,63.4894713,0,-2.6,36,0.04
-0.125269289,28.59930762,29.32535088,82.93343142,0,24.1,83,0.342
-0.128746376,9.929379332,15.01093558,92.10849486,0.9,0.2,96,0.494
0.240122181,27.88308805,27.91310014,116.9330172,0,1.9,94,0.687
0.190942603,25.83505204,26.26271526,50.4046767,1,22.9,92,0.559
-0.436834532,23.76738761,12.51217519,112.3424767,0,7.4,92,0.342
-0.128746376,21.23785305,37.01735752,110.5772997,0,24.4,76,0.494
-0.275179856,26.47125458,27.15074766,97.21851619,0,7.5,64,0.04
-0.128746376,15.77313268,30.47537141,86.74556464,0,11.9,91,1.279
-0.128746376,11.81824269,27.99272135,125.687906,0.4,20.4,100,1.279
-0.4,21.50019807,24.95701346,116.2634399,0,20.7,81,0.986
-0.239651509,28.3176447,23.28751873,97.96165586,0,5.5,67,0.04
0.240721389,26.05596408,16.12502505,69.91799056,0,20.8,65,0.687
-0.128746376,10.36693331,15.81294539,68.01908157,0,16.2,43,0.494
-0.128746376,16.24707994,38.41025641,90.7237632,0,26.6,68,1.279
-0.175627498,28.62898775,33.64456021,33.96110893,13,19.7,100,0.04
0.342981744,27.50317132,18.85078481,80.83800017,0,21.6,97,0.494
-0.375005809,9.815668203,26.92298979,87.8239995,0,-3.8,94,0.135
-0.556185897,13.61450611,23.17828972,30.62464772,0,7,33,0.135
-0.214326326,26.35935426,29.8133552,71.54752952,0,3,47,0.04
0.296796676,17.39685159,19.66250589,48.86418873,0,9.4,19,0.559
-0.128746376,7.762350389,12.92506891,38.09227042,0,5.6,58,0.494
-0.128746376,12.15064753,16.23667865,113.790055,2,18.6,74,0.494
-0.128746376,11.61734494,22.94407706,123.561753,0,22.4,49,0.494
-0.096282517,28.36837493,20.25950351,52.90329596,0,11.4,83,0.04
-0.329649976,13.11542571,17.2013595,79.2062467,0,8.4,58,0.135
-0.464701642,27.24103386,31.54879042,68.73650223,0,13.7,56,0.342
0.418890152,23.28394073,28.4532156,138.0428648,0,28.5,77,0.559
-0.128746376,13.40128171,22.55555518,112.0770143,0.1,25.4,100,0.494
0.239508676,27.17472484,26.40688827,98.66880573,37,21.9,100,0.559
-0.45186251,20.20583832,13.82715468,100.2798126,0,-1,59,0.342
-0.128746376,9.387368177,28.3829363,69.12311654,0,27.1,99,1.279
-0.860027702,15.3687658,32.36375992,98.22666006,0,10.3,31,0.986
-0.528621795,18.40562486,24.06176565,78.64828719,0,31.9,64,0.135
0.04,21.50019807,24.95701346,145.7031073,0,27.8,49,0.04
-0.093981982,28.27558582,26.07978829,99.83435677,0,21.8,100,0.04
-0.464198718,15.82047686,21.9948392,78.0428648,0,-2.8,81,0.135
0.390654658,25.99066471,21.94673608,111.6066104,0,29.5,90,0.494
-0.380172453,20.03267242,30.47466453,123.7669967,0,21.3,75,0.135
-0.38150641,17.92318785,25.50055631,141.0219201,0,27.3,66,0.135
-0.128746376,7.36257501,18.11871223,97.05573004,0,5.5,19,0.494
0.344387424,18.6264515,18.71765504,78.3702812,2,10.9,97,0.559
0.224154948,27.72731277,21.87464958,56.02022699,0,12.2,48,0.494
-0.128746376,13.2380683,21.5051969,160.2785086,0,31.7,74,0.494
0.003393502,27.19204537,25.838605,155.1408084,0,25.3,90,0.04
-0.169728042,26.86833927,31.89584954,149.8803346,0,25.2,100,0.342
-0.128746376,15.54504589,42.44871795,120.2176093,0,25.6,100,1.279
-0.945226988,16.61477825,26.4340685,123.2626099,0.4,22.4,100,0.986
-0.035507421,27.82457282,26.1430575,124.4591721,0,30.9,68,0.04
-0.08836036,25.71001819,21.31011968,74.54907959,0,0.1,54,0.04
0.375227344,28.08453417,26.96975986,70.85861826,0,24.7,69,0.494
0.404550643,24.30133682,21.53188003,24.27452844,0,10,33,0.687
0.404025343,21.79523142,15.02010618,70.29074578,0,17.6,61,0.559
0.189460616,27.97257898,26.32938037,70.74525522,0.1,23.5,77,0.494
-0.316770584,25.55343919,12.62180625,96.0373313,0,22.2,34,0.342
-0.392736374,22.51626106,26.65331464,105.4621902,0,18.1,68,0.135
0.053775083,28.94871968,32.85710196,117.8789685,0,5.6,100,0.687
-0.077637638,27.16860972,21.07646845,122.658713,0,7,88,0.04
0.346713072,24.8954621,18.68964135,101.9744464,0,13.4,70,0.687
0.328670062,23.92278088,17.87216991,81.80935889,0,19.7,27,0.687
0.251055622,27.17473298,26.44693632,106.0159799,37,21.9,100,0.559
0.327171991,18.30576669,13.50887795,66.37425291,2,7.9,91,0.559
-0.128746376,15.91065133,38.41025641,143.4023751,0,30.7,47,1.279
0.353169176,27.45618836,23.69904846,93.28745932,0,9.4,30,0.494
-0.128746376,24.88506191,36.09973964,69.47855817,0,7.3,64,1.279
-0.396570513,18.43922589,25.50088999,157.6006841,0.5,27.3,66,0.135
0.346070178,26.59139659,22.41988154,103.9397118,0,-2.9,36,0.494
-0.840059776,18.78444797,30.52040685,123.4312989,0,11.9,54,0.986
-0.068359406,28.40954423,23.96871467,107.8038155,0,11.5,43,0.04
-0.128746376,16.30507788,34.94260832,108.0125761,0,-1.3,25,1.279
0.559,21.50019807,24.95701346,84.36080875,0,8.9,69,0.559
-0.128746376,20.0439449,44.58377807,97.35921512,0,10.9,62,0.494
-0.467585102,26.40392863,30.70715065,91.56549521,0.1,18.5,100,0.342
-0.427537044,27.0667201,31.54887923,71.12913683,0.3,12.3,100,0.342
0.376902969,28.48017672,22.2350821,111.0181719,0.4,22.7,100,0.494
-0.21118357,28.10305661,28.47131019,77.53469242,0,2,63,0.04
-0.347625899,22.46620178,20.44999967,108.1492087,0,10.1,63,0.342
-0.039477397,26.48763872,14.16406431,129.691573,0.4,23.4,79,0.342
-0.917638858,20.43526263,26.66101324,91.73038073,0,3.1,81,0.986
-0.128746376,20.15573002,37.45043092,152.4822169,0,25.6,89,0.494
-1.0592935,20.13840609,32.60830502,85.88806895,0,6.3,60,0.986
-0.128746376,17.67285131,29.88043123,157.435673,0,32.8,53,1.279
-0.453461231,23.76746236,12.51207484,110.8867769,0,5.7,88,0.342
-0.110180505,22.75180345,28.24102692,112.963233,0,26.8,49,0.04
0.324529788,27.94433608,21.52484481,52.10571009,0,-4.7,92,0.494
0.04,21.50019807,24.95701346,135.9569882,10,11.3,94,0.04
-0.121652627,27.7156083,28.73973152,80.36149775,0,23,100,0.04
0.28863402,24.90588706,28.23461105,89.33190802,0,30.1,39,0.559
-0.922050759,21.0033605,29.64311869,124.4685964,0,14.5,56,0.986
0.012049739,27.93340317,23.61851332,76.58395557,0,33.4,55,0.04
-0.128746376,21.50019807,24.95701346,78.00298852,0.4,14.8,70,0.494
0.135,21.50019807,24.95701346,135.1547145,0,25.6,35,0.135
-0.548974359,19.67341214,22.20506058,52.53019895,0,16.5,39,0.135
-0.548870839,19.14847945,16.17060451,112.2236531,0.7,20,100,0.135
0.268727166,26.0412495,27.51262295,128.2535695,41,26,93,0.559
-0.096466827,26.58378401,32.433137,84.84361164,0,24.4,100,0.342
0.096344865,18.20613939,19.33804907,86.86176096,0,9.8,86,0.559
0.559,21.50019807,24.95701346,107.5046366,0,11.6,92,0.559
-0.508776978,23.93215512,19.95287273,62.06183006,0.5,-0.6,92,0.342
-0.330359712,22.55172281,20.81259308,100.484796,0,2.8,59,0.342
0.265148609,20.69404355,19.48383245,76.58395557,0,-5.4,37,0.559
0.357363925,29.12133688,21.97287724,79.02788845,0,30,55,0.494
-0.080240288,27.75749092,30.88546075,122.1001047,0,25.1,72,0.342
-0.91565858,18.19331257,14.02357397,115.620866,0,27.8,50,0.986
-0.070567546,28.76495117,33.13965137,120.6070288,4,13.7,100,0.04
0.318334263,24.46291419,24.66634349,12.19321775,0,-8.2,91,0.687
0.407392138,27.72235577,23.81479261,104.4345103,0,28.5,52,0.687
-0.128746376,21.50019807,24.95701346,115.5170801,3,10.8,85,0.342
0.23990878,20.80144906,18.33226509,70.09981273,0,2.2,56,0.559
-0.128746376,17.38472813,40.49789706,74.4812842,0,14.6,75,1.279
-0.128746376,21.50019807,24.95701346,133.6553186,0,21.6,54,1.279
-0.387114309,23.76797127,12.94408833,114.4314823,2,8.4,74,0.342
-0.128746376,25.25744698,37.88693067,111.8708532,0,30,65,0.494
-0.128746376,9.706606681,14.44590174,97.43567303,0,-6.4,95,0.494
0.227696735,22.36235459,18.93774608,53.50241519,0,13.9,20,0.687
0.255522412,24.62474966,22.05570026,113.7880797,0,14.9,39,0.687
0.316321056,26.42639289,27.94222487,85.01276859,0,9.5,85,0.494
0.296817114,29.60841892,22.3446006,70.4940239,0,25.5,30,0.494
-0.128746376,15.59289009,29.88212238,123.2662866,0,21.8,74,1.279
0.10891846,27.98092269,26.51664238,106.2020228,0,7.6,51,0.494
-0.103301359,28.68111764,32.63474254,130.4302413,1,17.8,92,0.04
-0.128746376,22.08444278,38.04646505,107.2948631,0,-6.9,18,1.279
-0.095647648,28.37172041,25.07460261,84.93906741,0,20.5,100,0.04
-0.254408811,28.37172041,20.83670563,60.74759287,0,14,44,0.04
-0.111783784,28.27558582,26.29586575,120.2176093,0,25.6,100,0.04
0.368243246,23.93629808,20.59353973,118.7313252,0,30.7,67,0.687
-0.128746376,21.50019807,24.95701346,130.8512575,0,30.8,48,0.342
0.326833113,20.26091735,18.04297169,63.48166431,0,6.3,50,0.559
-0.128746376,11.99005533,17.8242743,115.9255477,0,26.7,23,0.494
-0.128746376,17.45678895,30.02390527,70.95169377,2,24.9,93,1.279
-0.409729944,22.87055265,26.50911276,103.6251295,0,13,65,0.135
-0.161233233,27.72281194,18.95549606,96.71140241,0,23.5,49,0.04
-0.467264718,27.02464436,31.1168857,106.2020228,0,7.6,51,0.342
-0.104460432,26.58423473,32.57796869,119.7590525,0,21.5,58,0.342
0.107968042,29.01466214,32.76781911,79.45565165,0,11.6,61,0.687
0.351251069,27.22507954,23.99318114,110.7972907,0,27.8,67,0.494
0.304708692,26.86213782,21.75919868,90.4824594,0,-2.8,78,0.494
0.425495121,25.28846154,24.8588225,119.6969423,0,18.4,81,0.687
-0.112027712,28.20501287,20.31403607,68.60195357,0,17.2,18,0.04
-0.128746376,8.033467014,13.50224836,56.33429683,0,7.4,25,0.494
-0.944261345,16.12826079,28.82838139,106.8121122,0,-9.3,37,0.986
-0.314532374,25.55378949,11.9322358,107.8038155,0,11.5,43,0.342
0.400296155,21.06792226,16.17182961,141.0942289,0,17.4,90,0.559
-0.128746376,15.8303946,39.67901668,48.27937813,0,29.2,37,0.494
0.581027039,28.37139423,28.89697381,101.9744464,0,23.3,75,0.687
0.364968551,24.57136072,22.41386714,61.46530147,0,-12.3,30,0.687
-0.564839744,18.17070727,23.43799349,115.6324128,0,5.4,94,0.135
0.295872565,23.11992004,28.48137765,98.22022614,0,23.1,95,0.559
-0.527295549,9.441920093,18.2847876,124.1064796,0,13.3,27,0.135
-0.57352518,23.93328089,18.65577932,107.2141888,0,-1,50,0.342
0.04,21.50019807,24.95701346,118.9414573,0,23.2,50,0.04
-0.87241117,20.08324002,27.81325667,46.13327798,0,7.9,50,0.986
-0.215382512,27.95166849,26.80742148,131.6777697,2,23.2,99,0.342
-0.337553957,22.52017829,20.37772305,63.10128106,0,3.2,62,0.342
0.159962376,29.10456731,33.05031094,127.5218244,0,28.1,43,0.687
-0.519967949,19.1812732,23.31814742,152.4822169,0,25.6,89,0.135
0.117666883,18.04354399,19.33790466,36.31864286,0,21,56,0.559
-0.4,21.50019807,24.95701346,106.9398992,0,8.6,71,0.986
-0.128746376,21.50019807,24.95701346,74.19830261,0,13.7,31,1.279
-1.258248027,16.81041249,27.28939149,98.68017149,0,6.8,40,0.986
0.056376895,29.10456731,34.03090213,68.36635996,2,15.6,100,0.687
-0.128746376,15.15049266,37.61514904,70.11838631,0,4.9,100,1.279
-0.128746376,9.454459138,15.81622812,120.7026762,0,17.9,30,0.494
-0.354193771,20.18280279,30.47466453,108.3192552,0,18.2,100,0.135
-0.128746376,23.04498753,37.90226317,26.21523453,0,-12.9,18,1.279
-0.128746376,20.95068242,37.2533547,32.53729855,0,2.8,69,1.279
-0.564892086,24.04135754,18.79996815,46.90098687,0,1.5,30,0.342
-0.128746376,16.91365314,45.22729636,51.78773625,0,18.7,30,0.494
0.313524454,27.72422354,20.88145775,132.0584459,0,23.7,65,0.494
-0.108303249,22.53431189,27.21840795,91.65799833,0,21.1,87,0.04
-0.128746376,10.1458456,16.03633261,105.6680299,0,-4.9,91,0.494
-1.075908463,20.30080159,22.47964567,74.30984638,0,24.9,80,0.986
0.318772585,21.98943283,13.86714771,123.8158152,0,7.5,56,0.559
-0.028311272,28.40493553,29.42897215,131.6777697,0,24,78,0.04
0.430776977,24.52743292,28.81442156,75.5322142,0,31.2,67,0.559
0.254827565,26.79818172,26.19062875,111.6066104,0,28.3,88,0.559
-0.094059514,28.36874203,19.5228137,76.19853267,39,13.8,98,0.04
-0.128746376,21.50019807,24.95701346,106.6674613,0,22,26,1.279
-0.082877698,27.88472562,27.74908787,143.3486914,0,20.4,76,0.342
0.290373137,27.72308762,21.33800561,103.7664817,0,30.1,53,0.494
-0.374993993,24.72891233,31.13929092,74.81906514,0,27.8,42,0.342
0.214761628,26.3322988,16.55780405,70.29392423,0,14.9,88,0.687
-0.128746376,19.99490699,30.48859567,109.9858955,0,28.5,66,0.494
0.252729046,27.66942087,22.92729993,95.21233463,0,11.6,44,0.494
0.384412636,27.45303017,23.87459235,108.3711198,16,23.8,89,0.494
-0.609289215,21.8722467,14.09973964,86.59429269,0,5.1,80,0.135
0.559,21.50019807,24.95701346,111.338112,0,23.3,25,0.559
0.331204821,24.41254517,22.17694063,49.18863841,0,6.4,65,0.687
0.494,21.50019807,24.95701346,67.28017296,0,23,20,0.494
-0.884564457,12.2086735,15.78604935,181.7998509,0,24.7,88,0.986
-0.128746376,9.801628466,17.32994995,97.62060128,0,12.1,48,0.494
-0.471046848,19.82698972,18.47506969,85.01276859,0.3,13.4,100,0.135
-0.465160256,18.29818797,24.92657114,128.2758125,0,27.6,90,0.135
-0.128746376,21.50019807,24.95701346,129.2180392,3,11.3,85,1.279
0.31533549,24.41257009,22.17690738,74.00086364,0,2.9,54,0.687
-0.128746376,21.50019807,24.95701346,64.99104776,10,12.5,86,0.342
-0.178858992,28.10299048,28.4712207,61.67233141,0,3.5,47,0.04
-0.411874951,8.610855323,26.50910189,98.22666006,0,10.3,31,0.135
0.346158525,27.7185662,26.76250044,84.69366865,0,5.5,69,0.687
-0.029511431,27.99370864,27.4600699,35.88094278,0,-0.8,20,0.04
-0.128746376,20.49238626,37.16189297,120.7228633,0,20.6,100,0.494
0.295858969,27.61636134,22.55032464,111.5391388,0,19.5,40,0.494
0.333717973,27.22270584,18.21679022,84.93906741,0,20.5,100,0.687
-0.525723421,24.2094762,15.97697414,103.037561,0,-0.6,45,0.342
0.279806789,18.9110743,20.632396,44.0195318,0,1.8,19,0.559
-0.169288569,28.46614236,33.21178121,74.30984638,0,24.9,80,0.04
-0.4,21.50019807,24.95701346,81.23595799,0,21,34,0.986
-0.128746376,20.31865655,42.00712057,123.7933954,0,27.9,43,0.494
0.687,21.50019807,24.95701346,79.20788269,0,21.7,21,0.687
0.273661037,27.23718788,22.16334244,97.48530869,0.1,9.5,49,0.494
0.366808544,24.03080563,18.14466039,139.5835959,0,19.3,42,0.687
0.362718016,21.98962508,14.21111742,105.0157894,0,10.2,47,0.559
-0.160504505,25.1820539,26.23425196,36.61977547,0,15.1,15,0.04
-0.129696243,29.11220102,32.7790022,128.8945577,0,18.6,74,0.04
-1.085795055,15.54289147,26.33676041,73.23113395,0.6,15.4,71,0.986
-0.464381258,28.34908246,30.10114654,74.69547683,0,14.4,100,0.342
0.361338064,20.8936085,13.21500089,139.4642193,0,24.5,33,0.559
-0.128746376,9.444864839,14.24144226,62.49219143,0,4,54,0.494
0.041513952,25.01617601,28.01767989,111.9028343,0,4.8,91,0.687
-0.974607662,15.65102123,26.33711505,126.4193823,0,12.8,31,0.986
-0.128746376,17.21905454,41.69551282,130.3577635,0,17.8,100,1.279
-1.19753483,15.81321586,27.54837407,59.7497993,0,13.9,34,0.986
-0.128746376,25.25744698,37.88693067,111.8708532,0,30,65,0.494
-0.128746376,19.93542635,42.00462909,54.22382199,0,8.3,100,0.494
-0.128746376,21.72391136,38.74996168,160.5575169,0,29.9,76,0.494
-0.59056993,22.19663596,14.46024434,100.2798126,0,-4.6,79,0.135
-0.128746376,12.31436123,17.67998792,123.2302153,0,17,85,0.494
-0.39595082,22.16808497,26.00440617,59.55271565,0,22.7,27,0.135
-0.926145091,13.6561692,16.17892966,118.7321527,0,31.5,57,0.986
-0.128746376,12.93618123,30.86091109,108.3192552,0,24.5,49,1.279
-0.128746376,16.74336605,30.69032692,93.94595769,0,5.8,44,1.279
0.015595668,27.67955675,24.68441393,103.8231003,0,25.7,93,0.04
-0.448814103,20.31055901,21.02030925,82.32085414,0,19.6,27,0.135
0.687,21.50019807,24.95701346,152.3745533,0,27.5,36,0.687
0.380032412,26.53147541,24.33936377,79.2062467,0,8.4,58,0.687
0.354715231,26.59127961,21.80715674,81.02192006,0,-5.1,56,0.494
-0.246426859,22.90161253,20.38159744,102.0765905,0,7.8,95,0.342
-0.128746376,9.249816826,14.37359288,67.18206175,0,4.5,43,0.494
-0.128746376,18.78848795,37.90226317,32.0584369,0,4,46,1.279
-0.128746376,25.78076382,39.45614999,122.8789822,2,22.2,100,0.494
-0.525737179,20.10137864,22.09521355,136.3771885,0,29.9,76,0.135
-0.366538389,20.60322399,30.47466453,127.1437758,0,28.5,81,0.135
-0.06969251,28.36832509,20.66007804,111.1125656,0,9.9,94,0.04
0.35525613,27.22504696,23.92795731,114.0175857,0,27.8,67,0.494
-0.106180439,28.59883235,29.32433318,100.7582516,0,20.6,100,0.342
-0.959656043,20.40811294,29.55390835,89.6751955,0,19.4,26,0.986
-0.4836428,20.41249499,15.2533547,74.96180684,0,13.1,97,0.135
-0.072805755,26.58400074,32.577658,101.7107372,0,31.8,45,0.342
-0.425323741,19.50590791,12.0997331,89.07409719,0,-4.6,33,0.342
-0.128746376,12.69496504,16.967381,119.931658,0.6,11.7,92,0.494
-0.128746376,21.50019807,24.95701346,135.967734,3,17.2,73,1.279
-0.195747402,26.52845148,32.50360558,141.9404776,0,26.6,48,0.342
0.268942899,29.60836812,22.23848758,145.8645418,0,18.9,87,0.494
-0.538724345,10.68715829,21.4281775,74.76280814,0,-0.1,80,0.135
0.35824712,20.67926476,19.80571033,72.90706655,0,18.2,41,0.559
